train,Stations
1134,乌海西-乌海-巴彦高勒-临河-乌拉特前旗-包头-包头东-呼和浩特-集宁南-丰镇-大同-阳高-天镇-柴沟堡-张家口-宣化-下花园-北京西
1147,连云港东-连云港-新沂-邳州-徐州-黄口-砀山-虞城县-商丘-兰考-开封-郑州-洛阳-华山-渭南-西安-咸阳-杨陵-蔡家坡-宝鸡
1148,宝鸡-蔡家坡-杨陵-咸阳-西安-渭南-潼关-灵宝-洛阳-郑州-开封-商丘-砀山-徐州-新沂-连云港-连云港东
1227,阜新南-清河门北-义县-锦州-葫芦岛-兴城-绥中-山海关-滦县-唐山-天津-沧州-德州-济南-泰山-兖州-滕州-徐州-宿州-蚌埠-滁州北-南京-丹阳-常州-无锡-苏州-上海
1228,上海-苏州-无锡-常州-南京-滁州北-蚌埠-宿州-徐州-枣庄西-滕州-邹城-兖州-磁窑-泰山-济南-禹城-平原-德州-吴桥-东光-泊头-沧州-青县-天津-唐山-山海关-兴城-葫芦岛-锦州-阜新南
1230,阜新南-清河门北-义县-锦州-葫芦岛-兴城-绥中-山海关-滦县-唐山-天津-沧州-德州-济南-泰山-磁窑-兖州-滕州-徐州-宿州-蚌埠-滁州北-南京-丹阳-常州-无锡-苏州-上海
1303,北京西-衡水-清河城-聊城-菏泽-曹县-商丘-宁陵县-开封-郑州
1304,郑州-开封-兰考-商丘-曹县-定陶-菏泽-郓城-梁山-台前-阳谷-聊城-临清-大营镇-衡水-深州-饶阳-任丘-霸州-北京西
1461,北京-廊坊北-杨村-天津西-静海-青县-沧州-泊头-东光-吴桥-德州-济南-泰山-磁窑-兖州-邹城-滕州-枣庄西-徐州-宿州-蚌埠-滁州北-南京-常州-无锡-苏州-上海
1462,上海-昆山-苏州-无锡-常州-南京-滁州北-蚌埠-宿州-徐州-枣庄西-滕州-邹城-泰山-济南-沧州-青县-静海-天津西-杨村-廊坊北-北京
2589,北京-天津-唐山-山海关-兴城-葫芦岛-锦州-沟帮子-大虎山-沈阳北-抚顺北-清原-梅河口-辽源
2590,辽源-梅河口-清原-抚顺北-沈阳北-大虎山-沟帮子-锦州-葫芦岛-绥中-山海关-唐山-天津-廊坊北-北京
2601,朔州-岱岳-怀仁-大同-阳高-柴沟堡-张家口-宣化-北京-廊坊北-天津-塘沽-芦台-唐山-滦县-昌黎-北戴河-秦皇岛
d101,北京-滦县-秦皇岛-山海关-葫芦岛北-锦州南-沈阳北-铁岭西-开原西-长春西-德惠西-哈尔滨西
d102,哈尔滨西-扶余北-德惠西-长春西-铁岭西-沈阳北-锦州南-葫芦岛北-唐山北-北京
d11,北京-唐山北-北戴河-葫芦岛北-锦州南-沈阳-沈阳南
d111,珲春-图们北-延吉西-安图西-敦化-蛟河西-吉林-长春-扶余北-哈尔滨西-哈尔滨-哈尔滨北-肇东-大庆西-齐齐哈尔南
d112,齐齐哈尔南-大庆西-大庆东-肇东-哈尔滨-哈尔滨西-扶余北-德惠西-长春-吉林-蛟河西-敦化-安图西-延吉西-图们北-珲春
d115,延吉西-安图西-敦化-蛟河西-吉林-长春-德惠西-双城北-哈尔滨西
d116,哈尔滨西-扶余北-德惠西-长春-吉林-蛟河西-敦化-安图西-延吉西
d119,长春-哈尔滨西-海林北-牡丹江
d12,沈阳南-沈阳-锦州南-葫芦岛北-绥中北-山海关-秦皇岛-北京
d120,牡丹江-横道河子东-哈尔滨西-扶余北-长春
d121,长春-扶余北-哈尔滨西-宾州-胜利镇-方正-依兰-佳木斯
d122,佳木斯-依兰-方正-胜利镇-宾州-哈尔滨西-长春
d123,吉林-双吉-长春-德惠西-扶余北-双城北-哈尔滨西
d124,哈尔滨西-扶余北-德惠西-长春-吉林
d127,吉林-长春-德惠西-扶余北-双城北-哈尔滨西-肇东-安达-大庆西-杜尔伯特-齐齐哈尔南
d128,齐齐哈尔南-杜尔伯特-大庆西-安达-哈尔滨-哈尔滨西-双城北-扶余北-德惠西-长春-吉林
d13,北京-唐山北-秦皇岛-锦州南-沈阳北
d130,吉林-长春-德惠西-扶余北-双城北-哈尔滨西-肇东-安达-大庆西-杜尔伯特-齐齐哈尔南
d135,吉林-长春-扶余北-哈尔滨西-哈尔滨-阿城北-尚志南-亚布力西-海林北-牡丹江
d136,牡丹江-横道河子东-亚布力西-尚志南-阿城北-哈尔滨-哈尔滨西-德惠西-长春-吉林
d14,沈阳北-台安-锦州南-山海关-秦皇岛-北京
d1631,太原南-阳泉北-石家庄-石家庄东-衡水北-景州-德州东-平原东-禹城东-济南西-济南-淄博-潍坊-青岛北
d1632,青岛北-潍坊-淄博-济南-济南西-禹城东-平原东-德州东-景州-衡水北-藁城南-石家庄-太原南
d1635,运城北-临汾西-霍州东-平遥古城-太谷西-太原南-阳泉北-石家庄-藁城南-辛集南-衡水北-景州-德州东-平原东-齐河-济南西-济南-章丘-淄博-潍坊-青岛
d1636,青岛-青岛北-潍坊-昌乐-淄博-济南-济南西-齐河-禹城东-平原东-德州东-景州-衡水北-藁城南-石家庄-阳泉北-太原南-祁县东-平遥古城-临汾西-侯马西-运城北
d1643,运城北-侯马西-介休东-平遥古城-太谷西-晋中-太原南-阳泉北-石家庄-辛集南-衡水北-德州东-济南西
d1644,济南西-禹城东-平原东-德州东-景州-衡水北-辛集南-藁城南-石家庄-阳泉北-太原南-平遥古城-灵石东-临汾西-侯马西-运城北
d17,北京-北戴河-葫芦岛北-盘锦北-辽中-沈阳-沈阳南
d1701,西安北-鄠邑-佛坪-汉中-宁强南-广元-南部-南充北-武胜-合川-重庆西-遵义-修文县-贵阳北
d1702,贵阳北-遵义-桐梓东-珞璜南-重庆西-南部-广元-宁强南-汉中-城固北-佛坪-鄠邑-西安北
d1705,西安北-鄠邑-洋县西-汉中-广元-南部-重庆西-綦江东-遵义-贵阳北
d1706,贵阳北-遵义-重庆西-南充北-阆中-苍溪-广元-汉中-西安北
d1779,绵阳-德阳-新都东-成都东-资中北-内江北-重庆西-遵义-贵阳东-贵定县-三江南-桂林西-桂林北-桂林-鹿寨北-柳州-南宁东-钦州东-合浦-北海
